;;;;;;;Grundsicherung für Arbeitsuchende nach dem SGB II
;;;;;;;
1. Leistungskürzung durch Sanktion gegenüber erwerbsfähigen Leistungsberechtigten (ELB);;;;;;;
Deutschland, West/Ost, Länder und Jobcenter;;;;;;;
Berichtsmonat September 2021;;;;;;;
;;;;;;;
Lesehilfe:  Die Sanktionen bewirkten bundesweit bei knapp 34.000 ELB mit mindestens einer Sanktion im Berichtsmonat September 2021;;;;;;;
eine durchschnittliche Kürzung des laufenden Leistungsanspruchs um 16%. Dies entspricht einer durchschnittlichen Kürzung um 99 Euro. ;;;;;;;
;;;;;;;
Regionen;Träger-nummer;Insgesamt;;;dar. unter 25 Jahre;;
;;Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)";Bestand ELB mit mindestens einer Sanktion;"Leistungskürzung 
durch Sanktion 
in % 1)";"Durchschnittliche Höhe der 
Kürzungen von Gesamtregelleistung durch Sanktion 
in Euro 
(bezogen auf alle ELB mit mindestens einer Sanktion)"
;;;;;;;
;;1;2;3;4;5;6
Deutschland;;34.301;15,6;98,79;7.556;17,3;89,65
Westdeutschland;;23.677;15,7;98,67;5.299;17,6;89,24
Ostdeutschland;;10.624;15,4;99,05;2.257;16,8;90,63
;;;;;;;
Schleswig-Holstein;1;1.243;15;95,18;293;16,2;88,1
Hamburg;2;735;15,6;108,11;108;19,6;105,83
Niedersachsen;3;3.409;15,1;95,32;818;16,2;87,07
Bremen;4;398;16,7;108,64;136;17,9;98,23
Nordrhein-Westfalen;5;6.787;14,8;93,26;1.744;17,4;87,49
Hessen;6;2.927;16,2;99,77;673;18,1;86,32
Rheinland-Pfalz;7;1.890;16,9;101,33;318;17,6;83,95
Baden-Württemberg;8;2.702;16,4;103,37;536;18;92,53
Bayern;9;2.972;17,1;106,76;522;19,7;96,57
Saarland;10;614;14,1;92,9;151;18,2;90,53
Berlin;11;2.690;16,5;111,05;498;19,7;96,58
Brandenburg;12;1.925;15,3;96,99;412;16,7;90,87
Mecklenburg-Vorpommern;13;816;14,6;95,9;178;15,5;93,68
Sachsen;14;2.356;14,7;93,49;596;15,8;90,66
Sachsen-Anhalt;15;1.656;14,7;92,04;321;14,9;80,19
Thüringen;16;1.181;16,3;98,21;252;17,5;89,58
;;;;;;;
Schleswig-Holstein;1;1.243;15;95,18;293;16,2;88,1
JC Stormarn;11102;63;18,4;101,54;*;21;95,4
JC Herzogtum Lauenburg;11116;107;13,9;84,62;*;12,9;67,74
JC Pinneberg;11502;87;17,3;108,09;16;19,3;102,33
JC Segeberg;11522;134;13,4;84,2;49;13,1;74,86
JC Flensburg, Stadt;11902;115;13,9;91,92;21;17,9;96,16
JC Schleswig-Flensburg;11904;165;12,8;82,53;29;12,6;73,17
JC Nordfriesland;11916;25;15;86,93;*;15,6;80,51
JC Dithmarschen;12702;104;17,4;108,62;33;14,7;89,55
JC Steinburg;12712;66;20,4;121,89;8;23,8;90,36
JC Kiel, Landeshauptstadt;13102;145;11,2;77,64;13;15,9;106,69
JC Plön;13106;34;17,9;105,88;*;24;121,83
JC Lübeck, Hansestadt;13502;54;16,8;108,01;*;17,4;95,02
JC Ostholstein;13506;47;15,4;103,24;*;9,4;57,1
JC Neumünster, Stadt;13902;48;17;111,2;*;20,4;104,66
JC Rendsburg-Eckernförde;13912;49;18,5;114,15;*;22,4;103,13
Hamburg;2;735;15,6;108,11;108;19,6;105,83
JC Hamburg, Freie und Hansestadt;12302;735;15,6;108,11;108;19,6;105,83
Niedersachsen;3;3.409;15,1;95,32;818;16,2;87,07
JC Braunschweig, Stadt;21102;59;19,1;123,12;31;20,8;117,48
JC Salzgitter, Stadt;21104;73;18;118,61;*;18,8;116,55
JC Wolfenbüttel;21106;29;12,7;88,88;*;15,3;99,62
JC Goslar;21124;116;14,7;104,12;17;19,4;110,03
JC Osterholz;21416;90;17,5;105,17;*;18,6;103,64
JC Celle;22102;114;14,6;96,45;20;17,3;103,12
JC Heidekreis;22116;92;10,6;74,34;*;15,6;91,17
JC Emden, Stadt;22402;15;18,2;111,77;*;14,9;92,92
JC Leer;22410;66;14,5;84,84;*;18,9;83,6
JC Wittmund;22444;6;22,7;105,91;*;37,8;148,09
JC Aurich;22446;75;12,7;82,61;20;10,2;62,87
JC Göttingen;23102;184;11,5;70,2;68;11,9;64,32
JC Northeim;23106;43;15,4;92,71;*;15,1;84,99
JC Holzminden;23406;26;20,5;103,4;8;16,9;86,98
JC Hameln-Pyrmont;23408;10;20,6;126,66;*;36,5;133,8
JC Schaumburg;23444;109;12,5;83,21;18;14,1;70,63
JC Region Hannover;23702;13;17,7;107,97;*;35,6;115,12
JC Helmstedt;24110;55;17,4;109,78;*;19;123,32
JC Gifhorn;24112;75;17,7;102,53;17;14,8;75,95
JC Wolfsburg, Stadt;24114;83;15,9;109,35;11;15,2;103,75
JC Hildesheim;24402;13;18,6;107,98;*;16,9;86,5
JC Peine;24404;69;11,8;68,43;29;14,7;69,97
JC Lüneburg;25102;139;15,5;110,97;29;16,4;99,2
JC Harburg;25104;85;16,4;108,62;*;15,5;85,92
JC Lüchow-Dannenberg;25110;12;14,7;91,41;4;14,2;68
JC Uelzen;25112;152;14,8;95,32;12;11,4;58,24
JC Grafschaft Bentheim;25704;64;16,2;80,46;32;14,3;65,34
JC Emsland;25706;100;14,6;88,43;37;16,8;90,18
JC Delmenhorst, Stadt;26104;40;12,5;76,11;20;10,4;58,58
JC Oldenburg (Oldenburg), Stadt;26106;205;12,6;89,83;38;12,5;79,84
JC Wesermarsch;26110;72;14,1;85,97;9;16,9;100,27
JC Ammerland;26112;60;12,9;85,32;13;11,3;60,38
JC Oldenburg;26118;75;13,9;88,53;18;17,1;85,63
JC Wilhelmshaven, Stadt;26126;92;15,3;98,66;21;12,5;74,22
JC Friesland;26130;11;6,4;42,56;3;5,8;41,63
JC Osnabrück, Stadt;26402;94;14,9;97,78;19;21,9;123,99
JC Osnabrück;26410;69;12,6;73,47;*;15,2;70,73
JC Stade;26702;108;17,1;101,7;41;19,1;90,74
JC Cuxhaven;26704;39;21,6;125,76;*;32;119,8
JC Rotenburg (Wümme);26706;120;19,6;122,1;20;20;120,39
JC Vechta;27402;62;20,7;122,64;*;19;110,06
JC Cloppenburg;27404;112;15,9;97,26;14;25,4;93,84
JC Verden;27706;161;15,2;77,87;36;17,5;73,77
JC Diepholz;27708;90;20,3;119,89;20;21,2;115,93
JC Nienburg (Weser);27718;32;13,7;90,31;*;14,9;72,51
Bremen;4;398;16,7;108,64;136;17,9;98,23
JC Bremen, Stadt;21404;208;18,1;121,59;57;20,3;114,63
JC Bremerhaven, Stadt;21420;190;15,1;94,47;79;16,1;86,41
Nordrhein-Westfalen;5;6.787;14,8;93,26;1.744;17,4;87,49
JC Heinsberg;31106;163;12,7;82,12;46;13,3;71,06
JC Städteregion Aachen;31108;190;18,1;112,82;49;19,7;105,68
JC Düren;31118;65;14,4;83,25;*;21,2;103,59
JC Leverkusen, Stadt;31502;139;11,8;77,95;34;12,5;61,51
JC Oberbergischer Kreis;31504;145;14,3;91,3;26;18,8;98,32
JC Rheinisch-Bergischer Kreis;31506;28;11,5;79,66;4;17,7;97,03
JC Bielefeld, Stadt;31704;35;23,7;134,71;20;27;135,92
JC Gütersloh;31778;92;14,1;88,48;*;22,2;107
JC Bochum, Stadt;32102;101;15,7;108,48;10;24;127,58
JC Herne, Stadt;32112;33;17,8;115,17;*;23,3;129,95
JC Bonn, Stadt;32302;122;18,5;109,99;51;21,3;103,99
JC Rhein-Sieg-Kreis;32304;131;15,4;101,47;30;17,6;95,53
JC Rhein-Erft-Kreis;32502;84;17,6;117,1;18;19,1;100,33
JC Euskirchen;32504;*;20,2;116,87;*;13,9;96,98
JC Borken;32702;150;13,4;82,5;26;16,9;79,34
