Ort;ID;1701 |Jan;1702 |Feb;1703 |M�r;1704 |Apr;1705 |Mai;1706 |Jun;1707 |Jul;1708 |Aug;1709 |Sep;1710 |Okt;1711 |Nov;1712 |Dez;1801 |Jan;1802 |Feb;1803 |M�r;1804 |Apr;1805 |Mai;1806 |Jun;1807 |Jul;1808 |Aug;1809 |Sep;1810 |Okt;1811 |Nov;1812 |Dez;1901 |Jan;1902 |Feb;1903 |M�r;1904 |Apr;1905 |Mai;1906 |Jun;1907 |Jul;1908 |Aug;1909 |Sep;1910 |Okt;1911 |Nov;1912 |Dez;2001 |Jan;2002 |Feb;2003 |M�r;2004 |Apr;2005 |Mai;2006 |Jun;2007 |Jul;2008 |Aug;2009 |Sep;2010 |Okt;2011 |Nov;2012 |Dez;2101 |Jan;2102 |Feb;2103 |M�r;2104 |Apr;2105 |Mai;2106 |Jun;2107 |Jul;2108 |Aug;2109 |Sep
Deutschland;100;3.027833337;3.116832311;2.998751837;3.125139124;3.013967492;3.166896187;3.113892305;3.105196955;3.225131505;3.240959389;3.283344778;3.22628067;3.107549511;3.183854724;3.095423667;3.168854525;3.097531538;3.103305759;3.153417294;3.204606084;3.367528882;3.326815809;3.28882411;3.231682742;3.080869514;3.12946298;3.062094477;3.149159137;3.063664937;3.169381052;3.129993907;3.227362234;3.231422456;3.248972808;3.067820909;2.686548289;2.111694992;1.511098438;1.205949585;1.194163251;0.936889638;0.621932592;0.205755515;0.192123757;0.293245067;0.494102242;0.746848973;0.970748741;1.006025799;0.940827153;0.764251941;0.666590862;0.603886384;0.611945195;0.66139625;0.748906224;0.927344037
Westdeutschland;101;2.776529106;2.846670676;2.752298152;2.848287961;2.7504137;2.880834849;2.823267409;2.812325247;2.928568175;2.954762828;2.989366112;2.91471639;2.797420158;2.8708638;2.803298856;2.881697029;2.813666505;2.820404757;2.857373622;2.911198487;3.072699574;3.028344995;2.986907555;2.932836893;2.783829213;2.830716261;2.770547505;2.85476539;2.786458946;2.86634244;2.82442985;2.923110246;2.94136369;2.969270843;2.802153846;2.45014749;1.930627118;1.415410183;1.147920829;1.135925601;0.876096572;0.57529377;0.189377639;0.166905758;0.266693744;0.458784665;0.693055442;0.888378516;0.911340891;0.860889202;0.712633408;0.637881601;0.583432078;0.595644408;0.632570267;0.700990528;0.847390294
Ostdeutschland;102;3.681172855;3.823654035;3.647713185;3.858311471;3.717158779;3.93576871;3.899555275;3.898749036;4.032707475;4.023294819;4.090005562;4.084112695;3.964671808;4.0517729;3.907991029;3.969427235;3.891222121;3.896916621;3.985894707;4.029550657;4.19760631;4.169516706;4.143807097;4.079979244;3.926938444;3.982428567;3.897163549;3.994335077;3.862739782;4.045357185;4.01700557;4.110922404;4.076759009;4.067857424;3.848164112;3.383378078;2.64798905;1.795729197;1.378740277;1.368199351;1.119157013;0.762063102;0.255148058;0.268199079;0.373627008;0.601625106;0.910986684;1.222350086;1.295363173;1.185977493;0.922872729;0.754946867;0.666955691;0.662289484;0.750620501;0.896881011;1.174266498
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schleswig-Holstein;1;2.897061845;2.941067959;2.793930112;2.844931133;2.772604881;2.846418135;2.866136717;2.803006963;3.027192475;3.024863174;3.080852773;2.977225203;2.904340531;3.02616923;2.995202408;3.069574063;2.948391989;2.911200678;2.956676742;3.030738387;3.171899244;3.116776097;3.013933089;3.023856659;2.894805203;2.997327732;2.882956113;2.934770918;2.860107;2.910567324;2.868304648;2.941566278;2.987134618;3.012099583;2.903678661;2.625243444;2.110176601;1.517423465;1.108788384;0.953593161;0.674934559;0.435543588;0.168082095;0.131881486;0.21339531;0.485667074;0.838544322;1.159353911;1.213368189;1.119618758;0.89229958;0.723733292;0.62327843;0.613824583;0.680143723;0.738812427;0.933400416
Hamburg;2;3.000706136;3.119027316;2.999234331;3.078302451;2.985455102;3.175771175;3.205268296;3.229865465;3.329468157;3.362193148;3.366618903;3.371089536;3.292599122;3.34230279;3.252414864;3.226240589;3.181166653;3.138827538;3.052695336;2.802912592;2.878515583;2.828516378;3.026963257;3.054613495;3.071328324;3.160610122;3.096066384;3.149612421;3.142210781;3.278162036;3.279525549;3.329132285;3.480363599;3.505724945;3.363478992;3.024054425;2.631175021;1.869580998;1.330520594;1.182504311;0.904506524;0.606235566;0.084048226;0.076026171;0.137017924;0.308536428;0.553418576;0.721732157;0.731299624;0.633717293;0.551587273;0.472846066;0.43871897;0.401895285;0.434900379;0.461722232;0.571801993
Niedersachsen;3;2.98512583;3.076090602;2.955796916;3.074562953;2.927600245;3.058880912;2.972952464;2.995912351;3.087506615;3.088802156;3.110455159;3.141211005;3.069550169;3.173193204;3.052111039;3.106667347;2.993659365;2.994371261;3.085029869;3.109699252;3.173892929;3.087041702;3.009035049;3.015487437;2.872275465;2.963405389;2.904704328;2.983634647;2.828836348;2.922164381;2.923663401;3.060019155;3.040728506;3.015072655;2.796296296;2.513649831;1.96502442;1.376234279;1.046341031;1.074125003;0.900140863;0.635297724;0.289702939;0.219401103;0.274907725;0.43573984;0.690738259;0.912505254;0.960350699;0.920575512;0.778583421;0.711678832;0.675625333;0.705093265;0.751415197;0.833116592;0.957915235
Bremen;4;2.605126487;2.593343705;2.343134409;2.566763526;2.476481688;2.578251093;2.603994262;2.587516923;2.765842059;2.778859527;2.783788689;2.752756258;2.622946243;2.813777325;2.751012428;2.907490222;2.91144757;2.793303975;2.864635011;2.895278381;3.206661097;3.126403477;3.157389077;2.942722785;2.831120537;2.903496342;2.890390934;2.9243493;2.656741972;2.68846926;2.541927957;2.575315841;2.83715163;3.076740318;2.972111316;2.593923065;1.746724891;1.091969413;0.791440067;1.272220786;1.108769746;0.789054684;0.12295082;0.093980947;0.089158602;0.115214094;0.202565834;0.285050986;0.370256993;0.442420299;0.528141145;0.52589871;0.429898967;0.365574797;0.353064571;0.456757769;0.602820229
Nordrhein-Westfalen;5;2.620460228;2.71052568;2.671140895;2.768166947;2.650448692;2.767037563;2.677580074;2.683401196;2.803430988;2.814373166;2.836623443;2.705189111;2.56655304;2.665821473;2.632942674;2.705153213;2.633598582;2.647331382;2.674861823;2.75442034;2.925437187;2.899910478;2.842054491;2.73915268;2.538228133;2.597119181;2.578319445;2.672699945;2.651993202;2.708285681;2.678768363;2.746252377;2.787951124;2.805805051;2.652972402;2.285922832;1.777035265;1.285526313;1.039920557;0.994028902;0.745390212;0.462663623;0.119643055;0.103341889;0.175611083;0.326942947;0.529391537;0.712174528;0.740344329;0.693731766;0.54983259;0.469084374;0.40665093;0.411997616;0.441660717;0.498947569;0.632802812
Hessen;6;2.728738968;2.753557744;2.614458544;2.684082947;2.640983745;2.782947048;2.750634311;2.73088641;2.81947763;2.872547492;2.921714072;2.911790393;2.771238381;2.745122895;2.679345723;2.728266043;2.770365878;2.815229373;2.975758902;3.124913667;3.393309734;3.306723073;3.239920972;3.177651184;3.033024539;2.980088011;2.875182745;3.022822791;2.984179351;3.076823399;2.997031995;3.237294762;3.18684706;3.242049708;3.023883917;2.49603155;2.010320606;1.612927613;1.472568315;1.463131767;1.094393138;0.693914323;0.26962832;0.250660642;0.412032481;0.664471044;0.91851077;1.119765956;1.148480891;1.091833046;0.927432706;0.855400888;0.820392824;0.834261083;0.856462895;0.925296708;1.090569018
Rheinland-Pfalz;7;3.194707445;3.299358426;3.187299667;3.284952124;3.175685918;3.404857566;3.354996129;3.381744938;3.549005826;3.588254004;3.64282219;3.411704884;3.295068539;3.326000827;3.347036759;3.483741532;3.443524491;3.393385451;3.393561348;3.495859012;3.684380891;3.637211322;3.58495802;3.519960674;3.389949961;3.409004051;3.336648941;3.383540852;3.291127757;3.366189082;3.332653155;3.493718257;3.489908455;3.53407666;3.32594235;3.006925754;2.524135773;2.031057665;1.744828727;1.666899061;1.251229442;0.794391361;0.222851368;0.280680267;0.543899532;0.91527998;1.241516859;1.540371344;1.476920653;1.3647371;1.098576916;0.987424013;0.914567006;0.942790923;0.97977223;1.061171838;1.302603829
Baden-W�rttemberg;8;2.828079793;2.841917227;2.706683523;2.784535717;2.738393436;2.856086514;2.801023439;2.749024622;2.896404055;2.947811103;2.973975409;2.844116839;2.71659189;2.725523826;2.621152275;2.740124444;2.697977374;2.740221015;2.760288564;2.791793017;2.950227303;2.927916155;2.874906707;2.846796363;2.717578372;2.727023122;2.602050655;2.625377663;2.533672881;2.627628883;2.601733593;2.702328066;2.684878597;2.76095181;2.599708437;2.324966975;1.826879302;1.350548564;1.058817603;1.019047282;0.800917129;0.566202227;0.231384098;0.214303325;0.350146378;0.552566048;0.751800434;0.882636878;0.898553995;0.842366607;0.679323559;0.618388985;0.600073272;0.638077719;0.69621835;0.759881423;0.909017508
Bayern;9;2.842626897;2.884799338;2.78562456;2.884084298;2.824784214;2.943807608;2.903140752;2.827804354;2.902623507;2.952016523;3.029541088;3.032776002;2.966996549;3.022049411;2.918116506;3.017163036;2.892142864;2.903355335;2.886979945;2.890484557;3.050876709;3.02495571;3.04275794;3.028671423;2.953729017;2.967664074;2.896563364;2.990956255;2.911714832;3.06074547;2.941947511;2.990650082;2.962888284;2.964790988;2.795974466;2.427886358;1.82077924;1.306802985;1.138581413;1.297327567;1.038145501;0.702339582;0.265495625;0.240020854;0.392665617;0.638261538;0.888454723;1.050419424;1.035402178;0.996757414;0.88345317;0.832778596;0.781472781;0.801384616;0.8460517;0.938889627;1.093346479
Saarland;10;2.289474482;2.442847024;2.343186734;2.486237704;2.312565998;2.551616378;2.570306793;2.556822518;2.513880321;2.65690344;2.761636988;2.91654862;2.620018826;2.803401104;2.520348198;2.696001011;2.553394963;2.598089499;2.531299282;2.698145025;2.833623036;2.801046254;2.793249508;2.862254025;2.681432533;2.837349597;2.705304388;2.908763024;2.717866022;2.731380413;2.648477847;2.755217436;2.710578498;2.75188022;2.697313182;2.422552012;2.032321254;1.617981459;1.401602326;1.272367821;0.896045386;0.600146296;0.158539435;0.097470801;0.100360618;0.269518495;0.608427329;0.952048823;0.993726561;1.013044447;0.798977853;0.83309099;0.679932523;0.757102174;0.814180456;0.974697078;1.108063235
Berlin;11;4.770363109;4.921342198;4.638460357;4.972476;4.798160566;5.07346889;4.944792637;4.965921907;5.15911933;5.219205044;5.276833005;5.280134744;5.106023535;5.221599254;5.008940254;5.091450595;5.011887549;4.984351204;5.076136608;5.070256488;5.228380504;5.196704325;5.223767468;5.179667875;4.97966161;5.014023659;4.863376199;4.98674435;4.807095166;5.113641271;5.005533056;5.091190063;4.984545412;4.98456214;4.614727587;4.09407194;3.194812443;1.969727512;1.13461703;0.921503736;0.76551034;0.527622937;0.109607847;0.084948042;0.065756981;0.148859985;0.381003983;0.721674146;0.877075389;0.800738446;0.56826839;0.409920645;0.362955789;0.385150254;0.493608294;0.613193175;0.797230735
